Indice,Anular,Anular filtered
-46480,-8.454686227,-8.987349643
-46474,-2.49579428,-8.342957257
-46477,-5.536934612,-7.696572339
-46475,-3.578106964,-7.048834087
-46476,-4.619311075,-6.400383536
-46472,-0.660546682,-5.751862199
-46473,-1.701813526,-5.103910704
-46476,-4.743111343,-4.457167435
-46469,2.215560127,-3.812267184
-46472,-0.825798853,-3.169839819
-46473,-1.86718802,-2.530508957
-46472,-0.908607113,-1.894890671
-46468,3.04994413,-1.263592207
-46466,5.008465972,-0.63721074
-46466,4.966958674,-0.016332147
-46470,0.925422498,0.598470173
-46473,-2.116142294,1.206636453
-46466,4.842264557,1.80762167
-46467,3.800643314,2.400896609
-46461,9.758994235,2.985948891
-46468,2.717317583,3.562283942
-46467,3.675613615,4.129425924
-46466,4.63388259,4.686918605
-46466,4.592124768,5.234326174
-46463,7.550340406,5.771234007
-46461,9.508529761,6.297249364
-46468,2.466693091,6.812002033
-46466,4.424830651,7.315144912
-46462,8.382942697,7.806354525
-46464,6.341029484,8.285331477
-46459,11.29909127,8.75180084
-46466,4.257128297,9.205512482
-46458,12.21514083,9.646241319
-46457,13.17312912,10.07378751
-46464,6.131093405,10.48797659
-46461,9.089033948,10.8886595
-46455,15.04695099,11.27571264
-46457,13.00484479,11.64903772
-46461,8.962715584,12.0085617
-46457,12.92056362,12.35423653
-46458,11.87838914,12.68603892
-46456,13.8361924,13.00397004
-46460,9.793973619,13.30805506
-46459,10.75173305,13.59834281
-46458,11.70947094,13.87490519
-46457,12.66718752,14.13783669
-46457,12.62488303,14.38725375
-46454,15.58255769,14.6232941
-46455,14.54021176,14.84611611
-46452,17.49784546,15.05589796
-46455,14.45545902,15.25283694
-46451,18.41305267,15.43714856
-46453,16.37062665,15.6090657
-46454,15.32818117,15.76883773
-46453,16.28571647,15.91672955
-46455,14.24323276,16.05302063
-46455,14.20073028,16.17800406
-46453,16.15820923,16.29198551
-46456,13.11566985,16.39528219
-46456,13.07311234,16.48822187
-46452,17.03053692,16.57114174
-46455,13.98794382,16.64438741
-46454,14.94533323,16.70831182
-46453,15.90270538,16.76327415
-46450,18.86006047,16.80963876
-46450,18.81739871,16.8477741
-46456,12.77472032,16.8780517
-46455,13.73202549,16.90084502
-46454,14.68931443,16.9165285
-46451,17.64658734,16.92547647
-46450,18.60384443,16.92806216
-46456,12.56108588,16.9246567
-46454,14.51831191,16.91562818
-46458,10.4755227,16.90134066
-46453,15.43271846,16.8821533
-46454,14.38989937,16.85841946
-46453,15.34706562,16.83048586
