,Amplitude
0,7.0
1,151.0
2,150.0
3,149.0
4,150.0
5,151.0
6,150.0
7,150.0
8,151.0
9,147.0
10,147.0
11,148.0
12,148.0
13,149.0
14,149.0
15,148.0
16,149.0
17,149.0
18,150.0
19,150.0
20,149.0
21,150.0
22,0.0
23,150.0
24,149.0
25,150.0
26,152.0
27,153.0
28,154.0
29,150.0
30,153.0
31,154.0
32,152.0
33,151.0
34,151.0
35,151.0
36,152.0
37,151.0
38,150.0
39,150.0
40,149.0
41,149.0
42,148.0
43,149.0
44,149.0
45,147.0
46,149.0
47,150.0
48,151.0
49,153.0
50,150.0
51,150.0
52,150.0
53,151.0
54,150.0
55,151.0
56,152.0
57,154.0
58,151.0
59,149.0
60,153.0
61,148.0
62,149.0
63,149.0
64,150.0
65,148.0
66,148.0
67,149.0
68,151.0
69,150.0
70,149.0
71,146.0
72,148.0
73,148.0
74,148.0
75,150.0
76,150.0
77,148.0
78,147.0
79,146.0
80,148.0
81,149.0
82,150.0
83,150.0
84,149.0
85,149.0
86,151.0
87,150.0
88,150.0
89,149.0
90,148.0
91,148.0
92,147.0
93,149.0
94,149.0
95,147.0
96,149.0
97,150.0
98,150.0
99,148.0
100,152.0
101,154.0
102,152.0
103,148.0
104,151.0
105,152.0
106,150.0
107,150.0
108,149.0
109,150.0
110,151.0
111,149.0
112,149.0
113,150.0
114,149.0
115,146.0
116,146.0
117,147.0
118,149.0
119,151.0
120,152.0
121,151.0
122,150.0
123,150.0
124,150.0
125,151.0
126,151.0
127,148.0
128,148.0
129,147.0
130,148.0
131,149.0
132,150.0
133,150.0
134,152.0
135,152.0
136,151.0
137,151.0
138,149.0
139,149.0
140,148.0
141,149.0
142,148.0
143,147.0
144,146.0
145,149.0
146,150.0
147,153.0
148,149.0
149,149.0
150,153.0
151,153.0
152,152.0
153,152.0
154,152.0
155,153.0
156,153.0
157,152.0
158,151.0
159,149.0
160,150.0
161,148.0
162,147.0
163,148.0
164,148.0
165,149.0
166,151.0
167,151.0
168,149.0
169,147.0
170,149.0
171,149.0
172,146.0
173,148.0
174,147.0
175,148.0
176,148.0
177,149.0
178,151.0
179,150.0
180,151.0
181,148.0
182,149.0
183,150.0
184,150.0
185,150.0
186,148.0
187,149.0
188,148.0
189,153.0
190,153.0
191,149.0
192,148.0
193,148.0
194,151.0
195,150.0
196,149.0
197,151.0
198,152.0
199,153.0
200,155.0
201,147.0
202,148.0
203,150.0
204,151.0
205,152.0
206,149.0
207,148.0
208,148.0
209,149.0
210,150.0
211,151.0
212,151.0
213,149.0
214,149.0
215,149.0
216,151.0
217,154.0
218,148.0
219,147.0
220,147.0
221,148.0
222,145.0
223,146.0
224,148.0
225,148.0
226,146.0
227,149.0
228,150.0
229,153.0
230,149.0
231,149.0
232,150.0
233,148.0
234,149.0
235,151.0
236,150.0
237,150.0
238,153.0
239,152.0
240,152.0
241,149.0
242,147.0
243,150.0
244,151.0
245,151.0
246,151.0
247,149.0
248,151.0
249,151.0
250,153.0
251,149.0
252,147.0
253,148.0
254,148.0
255,150.0
256,147.0
257,147.0
258,148.0
259,145.0
260,147.0
261,149.0
262,148.0
263,148.0
264,149.0
265,153.0
266,153.0
267,150.0
268,152.0
269,150.0
270,153.0
271,150.0
272,148.0
273,148.0
274,149.0
275,148.0
276,150.0
277,151.0
278,150.0
279,150.0
280,149.0
281,149.0
282,146.0
283,148.0
284,149.0
285,148.0
286,147.0
287,146.0
288,147.0
289,146.0
290,149.0
291,148.0
292,150.0
293,151.0
294,149.0
295,153.0
296,154.0
297,150.0
298,150.0
299,149.0
300,150.0
301,152.0
302,151.0
303,149.0
304,148.0
305,148.0
306,149.0
307,149.0
308,148.0
309,149.0
310,147.0
311,148.0
312,149.0
313,150.0
314,151.0
315,151.0
316,152.0
317,151.0
318,151.0
319,149.0
320,149.0
321,149.0
322,149.0
323,146.0
324,144.0
325,146.0
326,151.0
327,152.0
328,152.0
329,152.0
330,150.0
331,148.0
332,150.0
333,148.0
334,149.0
335,147.0
336,149.0
337,150.0
338,151.0
339,149.0
340,151.0
341,154.0
342,152.0
343,150.0
344,151.0
345,152.0
346,151.0
347,151.0
348,150.0
349,151.0
350,149.0
351,146.0
352,147.0
353,149.0
354,150.0
355,150.0
356,151.0
357,151.0
358,151.0
359,147.0
360,147.0
361,149.0
362,149.0
363,146.0
364,149.0
365,148.0
366,148.0
367,149.0
368,148.0
369,153.0
370,153.0
371,151.0
372,150.0
