,Amplitude
0,3.0
1,22.0
2,23.0
3,24.0
4,20.0
5,15.0
6,11.0
7,13.0
8,18.0
9,20.0
10,18.0
11,13.0
12,12.0
13,13.0
14,0.0
15,31.0
16,31.0
17,27.0
18,27.0
19,27.0
20,29.0
21,28.0
22,27.0
23,26.0
24,25.0
25,24.0
26,23.0
27,24.0
28,25.0
29,27.0
30,28.0
31,27.0
32,22.0
33,26.0
34,27.0
35,27.0
36,29.0
37,25.0
38,25.0
39,27.0
40,26.0
41,24.0
42,23.0
43,23.0
44,21.0
45,23.0
46,21.0
47,18.0
48,17.0
49,10.0
50,9.0
51,15.0
52,13.0
53,8.0
54,9.0
55,15.0
56,22.0
57,28.0
58,24.0
59,26.0
60,27.0
61,25.0
62,23.0
63,18.0
64,18.0
65,23.0
66,27.0
67,25.0
68,19.0
69,21.0
70,24.0
71,26.0
72,26.0
73,31.0
74,25.0
75,26.0
76,29.0
77,25.0
78,25.0
79,28.0
80,24.0
81,22.0
82,28.0
83,25.0
84,25.0
85,25.0
86,28.0
87,27.0
88,28.0
89,28.0
90,28.0
91,34.0
92,32.0
93,30.0
94,26.0
95,24.0
96,25.0
97,25.0
98,29.0
99,28.0
100,24.0
101,23.0
102,19.0
103,24.0
104,26.0
105,28.0
106,27.0
107,24.0
108,24.0
109,25.0
110,25.0
111,26.0
112,26.0
113,27.0
114,27.0
115,25.0
116,28.0
117,25.0
118,22.0
119,23.0
120,27.0
121,28.0
122,25.0
123,25.0
124,23.0
125,26.0
126,28.0
127,33.0
128,33.0
129,32.0
130,29.0
131,31.0
132,31.0
133,29.0
134,28.0
135,31.0
136,28.0
137,22.0
138,17.0
139,17.0
140,19.0
141,26.0
142,29.0
143,29.0
144,25.0
145,22.0
146,26.0
147,29.0
148,27.0
149,28.0
150,29.0
151,26.0
152,28.0
153,28.0
154,31.0
155,34.0
156,33.0
157,28.0
158,28.0
159,25.0
160,29.0
161,26.0
162,25.0
163,28.0
164,28.0
165,31.0
166,33.0
167,30.0
168,28.0
169,32.0
170,34.0
171,30.0
172,26.0
173,29.0
174,29.0
175,31.0
176,32.0
177,28.0
178,28.0
179,29.0
180,29.0
181,31.0
182,33.0
183,36.0
184,39.0
185,40.0
186,33.0
187,30.0
188,28.0
189,30.0
190,32.0
191,32.0
192,32.0
193,31.0
194,29.0
195,29.0
196,26.0
197,25.0
198,30.0
199,29.0
200,30.0
201,32.0
202,32.0
203,33.0
204,27.0
205,25.0
206,31.0
207,29.0
208,26.0
209,31.0
210,29.0
211,31.0
212,33.0
213,36.0
214,39.0
215,37.0
216,36.0
217,33.0
218,34.0
219,31.0
220,26.0
221,28.0
222,30.0
223,29.0
224,30.0
225,32.0
226,32.0
227,30.0
228,32.0
229,33.0
230,30.0
231,30.0
232,26.0
233,22.0
234,25.0
235,27.0
236,26.0
237,24.0
238,22.0
239,23.0
240,25.0
241,28.0
242,29.0
243,26.0
244,27.0
245,26.0
246,26.0
247,24.0
248,22.0
249,22.0
250,25.0
251,26.0
252,27.0
253,27.0
254,27.0
255,27.0
256,27.0
257,26.0
258,30.0
259,32.0
260,29.0
261,27.0
262,25.0
263,29.0
264,28.0
265,29.0
266,29.0
267,26.0
268,23.0
269,21.0
270,25.0
271,26.0
272,27.0
273,27.0
274,28.0
275,29.0
276,31.0
277,29.0
278,27.0
279,24.0
280,22.0
281,20.0
282,18.0
283,13.0
284,10.0
285,17.0
286,27.0
287,29.0
288,30.0
289,33.0
290,30.0
291,27.0
292,27.0
293,25.0
294,24.0
295,27.0
296,26.0
297,27.0
298,27.0
299,28.0
300,25.0
301,27.0
302,26.0
303,26.0
304,26.0
305,29.0
306,31.0
307,28.0
308,25.0
309,25.0
310,23.0
311,21.0
312,21.0
313,22.0
314,23.0
315,26.0
316,25.0
317,26.0
318,25.0
319,24.0
320,24.0
321,26.0
322,30.0
323,29.0
324,27.0
325,24.0
326,27.0
327,27.0
328,28.0
329,27.0
330,23.0
331,23.0
332,18.0
333,22.0
334,23.0
335,19.0
336,19.0
337,19.0
338,22.0
339,27.0
340,31.0
341,29.0
342,30.0
343,27.0
344,28.0
345,31.0
346,33.0
347,28.0
348,24.0
349,24.0
350,25.0
351,27.0
352,28.0
353,27.0
354,28.0
355,29.0
356,27.0
357,28.0
358,31.0
359,32.0
360,32.0
361,33.0
362,29.0
363,30.0
364,27.0
365,22.0
366,24.0
367,25.0
368,27.0
369,29.0
370,29.0
371,26.0
372,29.0
373,22.0
374,22.0
375,26.0
376,27.0
377,24.0
378,27.0
379,27.0
380,22.0
381,22.0
382,24.0
383,26.0
384,30.0
385,29.0
386,28.0
387,30.0
388,29.0
389,27.0
390,21.0
391,18.0
392,19.0
393,32.0
394,33.0
395,29.0
396,25.0
397,23.0
398,32.0
399,32.0
400,28.0
401,27.0
402,25.0
403,25.0
404,21.0
405,16.0
406,13.0
407,20.0
408,23.0
409,27.0
410,26.0
411,21.0
412,25.0
413,31.0
414,29.0
415,28.0
416,26.0
417,25.0
418,24.0
419,24.0
420,25.0
421,27.0
422,29.0
423,26.0
424,28.0
425,32.0
426,28.0
427,23.0
428,27.0
429,26.0
430,23.0
431,26.0
432,26.0
433,24.0
434,24.0
435,24.0
436,22.0
437,23.0
438,24.0
439,26.0
440,26.0
441,28.0
442,26.0
443,30.0
444,27.0
445,23.0
446,22.0
447,21.0
448,24.0
449,23.0
450,23.0
451,20.0
452,21.0
453,22.0
454,22.0
455,31.0
456,31.0
457,26.0
458,25.0
459,22.0
460,20.0
461,22.0
462,23.0
463,22.0
464,23.0
465,24.0
466,27.0
467,25.0
468,28.0
469,29.0
470,30.0
471,29.0
472,27.0
473,25.0
474,28.0
475,28.0
476,29.0
477,31.0
478,29.0
479,31.0
480,33.0
481,29.0
482,25.0
483,23.0
484,24.0
485,26.0
