,Amplitude
0,3.0
1,303.0
2,304.0
3,307.0
4,311.0
5,317.0
6,324.0
7,331.0
8,341.0
9,351.0
10,361.0
11,373.0
12,384.0
13,397.0
14,409.0
15,421.0
16,433.0
17,445.0
18,456.0
19,0.0
20,303.0
21,305.0
22,309.0
23,313.0
24,320.0
25,327.0
26,336.0
27,345.0
28,356.0
29,367.0
30,378.0
31,390.0
32,402.0
33,415.0
34,427.0
35,439.0
36,450.0
37,461.0
38,470.0
39,479.0
40,487.0
41,494.0
42,499.0
43,503.0
44,505.0
45,506.0
46,506.0
47,504.0
48,501.0
49,496.0
50,490.0
51,482.0
52,474.0
53,464.0
54,453.0
55,443.0
56,430.0
57,419.0
58,406.0
59,394.0
60,382.0
61,371.0
62,359.0
63,348.0
64,339.0
65,330.0
66,322.0
67,316.0
68,310.0
69,306.0
70,304.0
71,303.0
72,303.0
73,305.0
74,308.0
75,313.0
76,319.0
77,326.0
78,334.0
79,344.0
80,354.0
81,365.0
82,377.0
83,389.0
84,400.0
85,413.0
86,425.0
87,437.0
88,448.0
89,459.0
90,469.0
91,478.0
92,486.0
93,493.0
94,498.0
95,502.0
96,505.0
97,506.0
98,506.0
99,504.0
100,500.0
101,496.0
102,490.0
103,483.0
104,475.0
105,466.0
106,455.0
107,444.0
108,432.0
109,420.0
110,408.0
111,396.0
112,384.0
113,372.0
114,361.0
115,350.0
116,340.0
117,331.0
118,323.0
119,316.0
120,311.0
121,306.0
122,303.0
123,302.0
124,303.0
125,305.0
126,307.0
127,312.0
128,318.0
129,325.0
130,334.0
131,343.0
132,353.0
133,363.0
134,375.0
135,387.0
136,399.0
137,411.0
138,424.0
139,436.0
140,447.0
141,458.0
142,468.0
143,477.0
144,485.0
145,492.0
146,498.0
147,502.0
148,504.0
149,506.0
150,506.0
151,505.0
152,501.0
153,497.0
154,491.0
155,484.0
156,476.0
157,466.0
158,457.0
159,445.0
160,434.0
161,422.0
162,410.0
163,398.0
164,385.0
165,374.0
166,362.0
167,351.0
168,341.0
169,332.0
170,324.0
171,317.0
172,311.0
173,307.0
174,304.0
175,302.0
176,303.0
177,304.0
178,307.0
179,311.0
180,317.0
181,324.0
182,332.0
183,342.0
184,351.0
185,362.0
186,374.0
187,386.0
188,398.0
189,410.0
190,422.0
191,434.0
192,446.0
193,457.0
194,467.0
195,476.0
196,484.0
197,491.0
198,497.0
199,501.0
200,504.0
201,506.0
202,506.0
203,505.0
204,502.0
205,498.0
206,492.0
207,485.0
208,477.0
209,468.0
210,458.0
211,447.0
212,435.0
213,423.0
214,411.0
215,399.0
216,387.0
217,375.0
218,363.0
219,353.0
220,342.0
221,333.0
222,325.0
223,318.0
224,312.0
225,308.0
226,304.0
227,303.0
228,302.0
229,304.0
230,307.0
231,311.0
232,316.0
233,323.0
234,331.0
235,340.0
236,351.0
237,361.0
238,372.0
239,384.0
240,396.0
241,408.0
242,421.0
243,433.0
244,444.0
245,455.0
246,466.0
247,475.0
248,483.0
249,491.0
250,496.0
251,501.0
252,504.0
253,506.0
254,506.0
255,505.0
256,502.0
257,498.0
258,492.0
259,486.0
260,478.0
261,469.0
262,459.0
263,448.0
264,436.0
265,425.0
266,413.0
267,400.0
268,388.0
269,377.0
270,365.0
271,354.0
272,344.0
273,334.0
274,326.0
275,319.0
276,313.0
277,308.0
278,304.0
279,303.0
280,302.0
281,303.0
282,306.0
283,310.0
284,316.0
285,322.0
286,330.0
287,340.0
288,349.0
289,360.0
290,371.0
291,383.0
292,395.0
293,407.0
294,419.0
295,431.0
296,443.0
297,454.0
298,464.0
299,474.0
300,482.0
301,490.0
302,496.0
303,500.0
304,504.0
305,506.0
306,506.0
307,505.0
308,503.0
309,499.0
310,494.0
311,487.0
312,479.0
313,470.0
314,461.0
315,450.0
316,438.0
317,426.0
318,414.0
319,402.0
320,390.0
321,378.0
322,366.0
323,355.0
324,345.0
325,336.0
326,327.0
327,319.0
328,313.0
329,309.0
330,305.0
331,303.0
332,302.0
333,304.0
334,305.0
335,310.0
336,315.0
337,321.0
338,329.0
339,338.0
340,347.0
341,358.0
342,369.0
343,381.0
344,393.0
345,405.0
346,418.0
347,430.0
348,441.0
349,452.0
350,463.0
351,472.0
352,481.0
353,489.0
354,495.0
355,500.0
